# E fE1+fM1 fE1 fM1 fE2
3.084924623115578246e+00 4.540168767358546106e-09 3.531243572436634077e-09 9.809505023194873980e-10 2.797469260242457231e-11
3.134673366834171304e+00 4.548489978946481875e-09 3.558597777352838127e-09 9.622742931330930946e-10 2.761790846055068560e-11
3.184422110552763918e+00 4.559035959620205192e-09 3.586543364230268633e-09 9.452185546021280317e-10 2.727404078780857555e-11
3.234170854271356976e+00 4.571721898639631372e-09 3.615094246942947958e-09 9.296851373122285771e-10 2.694251438445484017e-11
3.283919597989950034e+00 4.586472050578798556e-09 3.644264587999661346e-09 9.155846731556893591e-10 2.662278942344728947e-11
3.333668341708543092e+00 4.603218906328257816e-09 3.674068805427776725e-09 9.028357420786218546e-10 2.631435882185977914e-11
3.383417085427136151e+00 4.621902457419145340e-09 3.704521579830173566e-09 8.913641317444557774e-10 2.601674584451608154e-11
3.433165829145728765e+00 4.642469542243982612e-09 3.735637861620939526e-09 8.811021787067463112e-10 2.572950191629671950e-11
3.482914572864321823e+00 4.664873264299195843e-09 3.767432878445619366e-09 8.719881812313127947e-10 2.545220462226367561e-11
3.532663316582914881e+00 4.689072473895527129e-09 3.799922142791992922e-09 8.639658752264361368e-10 2.518445587709752480e-11
3.582412060301507939e+00 4.715031305911569914e-09 3.833121459797597987e-09 8.569839658665739046e-10 2.492588024739790926e-11
3.632160804020100997e+00 4.742718767132502344e-09 3.867046935260361193e-09 8.509957084599398071e-10 2.467612341220097908e-11
3.681909547738693611e+00 4.772108367545988339e-09 3.901714983858925375e-09 8.459585329384117944e-10 2.443485074865080083e-11
3.731658291457286669e+00 4.803177790681123503e-09 3.937142337589491464e-09 8.418337070604768582e-10 2.420174603115521580e-11
3.781407035175879727e+00 4.835908598691545928e-09 3.973346054426198498e-09 8.385860340317614293e-10 2.397651023358542240e-11
3.831155778894472785e+00 4.870285968415257375e-09 4.010343527212313486e-09 8.361835807777803783e-10 2.375886042516326906e-11
3.880904522613065843e+00 4.906298455103491201e-09 4.048152492789716301e-09 8.345974335621349387e-10 2.354852875164008682e-11
3.930653266331658457e+00 4.943937780909551905e-09 4.086791041374449291e-09 8.338014780408813783e-10 2.334526149422141669e-11
3.980402010050251516e+00 4.983198645574677506e-09 4.126277626186337069e-09 8.337722011888941675e-10 2.314881819944685374e-11
4.030150753768844574e+00 5.024078557048975346e-09 4.166631073340945812e-09 8.344885128341241209e-10 2.295897087390511858e-11
4.079899497487437188e+00 5.066577680047713119e-09 4.207870592012452478e-09 8.359315847969993889e-10 2.277550323826175609e-11
4.129648241206029802e+00 5.110698700771973070e-09 4.250015784876269820e-09 8.380847058600936489e-10 2.259821003560977852e-11
4.179396984924623304e+00 5.156446706222328118e-09 4.293086658840558430e-09 8.409331509921409838e-10 2.242689638962856273e-11
4.229145728643215918e+00 5.203829076708879380e-09 4.337103636076095395e-09 8.444640634243217570e-10 2.226137720846224770e-11
4.278894472361808532e+00 5.252855390313659788e-09 4.382087565354275171e-09 8.486663483287762859e-10 2.210147663060883559e-11
4.328643216080402034e+00 5.303537338195094188e-09 4.428059733703348344e-09 8.535305769822922492e-10 2.194702750945323553e-11
4.378391959798994648e+00 5.355888649741225834e-09 4.475041878393365427e-09 8.590489004144766374e-10 2.179787093338351390e-11
4.428140703517588150e+00 5.409925026680814272e-09 4.523056199260644380e-09 8.652149716414647200e-10 2.165385577870533088e-11
4.477889447236180764e+00 5.465664085350865018e-09 4.572125371382937894e-09 8.720238756751098141e-10 2.151483829281732888e-11
4.527638190954773378e+00 5.523125306397368002e-09 4.622272558116914891e-09 8.794720665751195562e-10 2.138068170533394887e-11
4.577386934673366881e+00 5.582329991253944858e-09 4.673521424509888298e-09 8.875573108790132950e-10 2.125125586504336561e-11
4.627135678391959495e+00 5.643301224802180708e-09 4.725896151098239014e-09 8.962786368031712756e-10 2.112643690077074535e-11
4.676884422110552997e+00 5.706063843668248009e-09 4.779421448105321787e-09 9.056362886585445573e-10 2.100610690438140311e-11
4.726633165829145611e+00 5.770644409654010863e-09 4.834122570052166480e-09 9.156316859675368572e-10 2.089015363430772289e-11
4.776381909547738225e+00 5.837071187837698711e-09 4.890025330794692678e-09 9.262673868048871909e-10 2.077847023811871267e-11
4.826130653266331727e+00 5.905374128909959010e-09 4.947156119001686668e-09 9.375470549154984814e-10 2.067095499277368892e-11
4.875879396984924341e+00 5.975584855336208360e-09 5.005541914088262933e-09 9.494754301866318234e-10 2.056751106131315787e-11
4.925628140703517843e+00 6.047736650955900060e-09 5.065210302620050149e-09 9.620583020710091640e-10 2.046804626484067322e-11
4.975376884422110457e+00 6.121864453644069705e-09 5.126189495203909100e-09 9.753024855714187855e-10 2.037247286874234633e-11
5.025125628140703071e+00 6.198004850670355642e-09 5.188508343881527605e-09 9.892157994066537590e-10 2.028070738217387454e-11
5.074874371859296573e+00 6.276196076395861792e-09 5.252196360042809116e-09 1.003807045983130462e-09 2.019267036992212688e-11
5.124623115577889187e+00 6.356478011948884653e-09 5.317283732876622670e-09 1.019085992796443673e-09 2.010828627581769955e-11
5.174371859296482690e+00 6.438892186516454910e-09 5.383801348377038526e-09 1.035063354882477379e-09 2.002748325693902475e-11
5.224120603015075304e+00 6.523481779880224212e-09 5.451780808923894329e-09 1.051750777928423115e-09 1.995019302790696830e-11
5.273869346733667918e+00 6.610291625811988646e-09 5.521254453457154539e-09 1.069160821640211877e-09 1.987635071462186511e-11
5.323618090452261420e+00 6.699368215926337861e-09 5.592255378265266987e-09 1.087306942944226614e-09 1.980589471684462120e-11
5.373366834170854034e+00 6.790759703565199452e-09 5.664817458408422759e-09 1.106203478577709009e-09 1.973876657906754187e-11
5.423115577889447536e+00 6.884515907261304566e-09 5.738975369798377434e-09 1.125865626593764467e-09 1.967491086916241872e-11
5.472864321608040150e+00 6.980688313294793899e-09 5.814764611957301596e-09 1.146309426273161417e-09 1.961427506433073758e-11
5.522613065326632764e+00 7.079330076818816124e-09 5.892221531478915120e-09 1.167551735895985641e-09 1.955680944391594749e-11
5.572361809045226266e+00 7.180496020986116979e-09 5.971383346215996055e-09 1.189610207781451651e-09 1.950246698866932489e-11
5.622110552763818880e+00 7.284242633458887159e-09 6.052288170219260671e-09 1.212503259953535348e-09 1.945120328609081062e-11
5.671859296482412383e+00 7.390628059628407502e-09 6.134975039453501286e-09 1.236250043733413850e-09 1.940297644149284782e-11
5.721608040201004997e+00 7.499712091808966607e-09 6.219483938317782524e-09 1.260870406496723818e-09 1.935774699446065565e-11
5.771356783919597611e+00 7.611556153602241432e-09 6.305855826997539737e-09 1.286384848764296755e-09 1.931547784040486926e-11
5.821105527638191113e+00 7.726223278553439318e-09 6.394132669677363814e-09 1.312814474719149970e-09 1.927613415692439005e-11
5.870854271356783727e+00 7.843778082139209528e-09 6.484357463644351799e-09 1.340180935160140457e-09 1.923968333471620582e-11
5.920603015075377229e+00 7.964286726039681863e-09 6.576574269312992135e-09 1.368506361813902838e-09 1.920609491278760017e-11
5.970351758793969843e+00 8.087816873553171909e-09 6.670828241203655146e-09 1.397813291831773815e-09 1.917534051774272409e-11
6.020100502512562457e+00 8.214437634912705075e-09 6.767165659907975342e-09 1.428124581197798223e-09 1.914739380693095709e-11
6.069849246231155959e+00 8.344219501159188374e-09 6.865633965075598292e-09 1.459463305668332139e-09 1.912223041525872856e-11
6.119597989949748573e+00 8.477234265117656901e-09 6.966281789458002280e-09 1.491852647754174434e-09 1.909982790548017315e-11
6.169346733668342075e+00 8.613554927912348477e-09 7.069158994046514480e-09 1.525315768144041043e-09 1.908016572179357797e-11
6.219095477386934689e+00 8.753255589344702167e-09 7.174316704342861458e-09 1.559875659855258588e-09 1.906322514658252165e-11
6.268844221105527303e+00 8.896411320348647506e-09 7.281807347802117509e-09 1.595554983286378639e-09 1.904898926015083208e-11
6.318592964824120806e+00 9.043098015632419982e-09 7.391684692489298169e-09 1.632375880239812018e-09 1.903744290331011849e-11
6.368341708542713420e+00 9.193392224519692324e-09 7.504003886992366637e-09 1.670359764884637563e-09 1.902857264268797490e-11
6.418090452261306922e+00 9.347370957919677868e-09 7.618821501636076835e-09 1.709527089544968413e-09 1.902236673863280364e-11
6.467839195979899536e+00 9.505111469291596941e-09 7.736195571042491318e-09 1.749897083133506929e-09 1.901881511559926314e-11
6.517587939698492150e+00 9.666691007431007381e-09 7.856185638085999969e-09 1.791487460010102192e-09 1.901790933490515513e-11
6.567336683417085652e+00 9.832186538901298213e-09 7.978852799292058373e-09 1.834314097039481825e-09 1.901964256975724587e-11
6.617085427135678266e+00 1.000167443797387960e-08 8.104259751730936865e-09 1.878390676660493086e-09 1.902400958244937978e-11
6.666834170854271768e+00 1.017523014203569979e-08 8.232470841459534781e-09 1.923728293872522518e-09 1.903100670364176667e-11
6.716582914572864382e+00 1.035292777058581503e-08 8.363552113566192986e-09 1.970335025205986282e-09 1.904063181363543187e-11
6.766331658291456996e+00 1.053483970618880145e-08 8.497571363875540428e-09 2.018215457987701724e-09 1.905288432556020319e-11
6.816080402010050499e+00 1.072103613609738813e-08 8.634598192372397366e-09 2.067370178554592499e-09 1.906776517039886124e-11
6.865829145728643113e+00 1.091158455371813991e-08 8.774704058405878820e-09 2.117795218528486712e-09 1.908527678377383710e-11
6.915577889447236615e+00 1.110654921969137696e-08 8.917962337737177709e-09 2.169481458859771777e-09 1.910542309442593052e-11
6.965326633165829229e+00 1.130599058310909343e-08 9.064448381496580124e-09 2.222413992098195913e-09 1.912820951431776278e-11
7.015075376884421843e+00 1.150996466432368248e-08 9.214239577117812828e-09 2.276571444275572439e-09 1.915364293029689148e-11
7.064824120603015345e+00 1.171852240192424102e-08 9.367415411320140890e-09 2.331925258906842987e-09 1.918173169725596389e-11
7.114572864321607959e+00 1.193170896779469937e-08 9.524057535211096668e-09 2.388438946950873452e-09 1.921248563272884945e-11
7.164321608040201461e+00 1.214956305573335272e-08 9.684249831585563579e-09 2.446067308134927151e-09 1.924591601286321364e-11
7.214070351758794075e+00 1.237211615091497724e-08 9.848078484499130090e-09 2.504755630846135162e-09 1.928203556971108791e-11
7.263819095477386689e+00 1.259939178951845367e-08 1.001563205119695135e-08 2.564438879831724024e-09 1.932085848977944245e-11
7.313567839195980191e+00 1.283140482011407041e-08 1.018700153648162233e-08 2.625040883218664874e-09 1.936240041378339557e-11
7.363316582914572805e+00 1.306816068088635237e-08 1.036228046960689828e-08 2.686473532841909624e-09 1.940667843754415699e-11
7.413065326633166308e+00 1.330965470942164063e-08 1.054156498378682126e-08 2.748636014520847217e-09 1.945371111397364745e-11
7.462814070351758922e+00 1.355587150455801944e-08 1.072495389841298479e-08 2.811414087688948084e-09 1.950351845608657993e-11
7.512562814070351536e+00 1.380678436259894911e-08 1.091254880407579510e-08 2.874679436582174320e-09 1.955612194097957966e-11
7.562311557788945038e+00 1.406235481292569405e-08 1.110445415048878571e-08 2.938289117922194269e-09 1.961154451471483267e-11
7.612060301507537652e+00 1.432253228057481483e-08 1.130077733741832389e-08 3.002085132558448479e-09 1.966981059804378138e-11
7.661809045226131154e+00 1.458725390551597788e-08 1.150162880872454870e-08 3.065894150698524380e-09 1.973094609290326797e-11
7.711557788944723768e+00 1.485644454998482562e-08 1.170712214962256603e-08 3.129527421972645985e-09 1.979497838961352443e-11
7.761306532663316382e+00 1.513001702608855451e-08 1.191737418727672334e-08 3.192780902437128120e-09 1.986193637470299411e-11
7.811055276381909884e+00 1.540787257578297448e-08 1.213250509484417125e-08 3.255435630499521398e-09 1.993185043928109271e-11
7.860804020100502498e+00 1.568990163399278075e-08 1.235263849908756064e-08 3.317258382417343936e-09 2.000475248787435838e-11
7.910552763819096000e+00 1.597598490289286938e-08 1.257790159168058989e-08 3.378002635264641931e-09 2.008067594763581532e-11
7.960301507537688614e+00 1.626599476099817921e-08 1.280842524433349220e-08 3.437409860886854476e-09 2.015965577783087109e-11
8.010050251256281229e+00 1.655979702458389601e-08 1.304434412786981062e-08 3.495211168234589789e-09 2.024172847949562601e-11
8.059798994974874731e+00 1.685725307100823567e-08 1.328579683538902535e-08 3.551129303514055668e-09 2.032693210515522435e-11
8.109547738693468233e+00 1.715822232376830722e-08 1.353292600965396774e-08 3.604881007845857299e-09 2.041530626848101347e-11
8.159296482412059959e+00 1.746256508773182057e-08 1.378587847484525177e-08 3.656179720732813033e-09 2.050689215375489885e-11
8.209045226130653461e+00 1.777014571023898201e-08 1.404480537282929422e-08 3.704738604884691084e-09 2.060173252499850028e-11
8.258793969849246963e+00 1.808083603008464713e-08 1.430986230408959703e-08 3.750273854260437692e-09 2.069987173461209692e-11
8.308542713567838689e+00 1.839451906234228912e-08 1.458120947347540044e-08 3.792508233135531862e-09 2.080135573135543068e-11
8.358291457286432191e+00 1.871109285326988987e-08 1.485901184092485646e-08 3.831174780277545885e-09 2.090623206748699542e-11
8.408040201005025693e+00 1.903047442693444138e-08 1.514343927732380113e-08 3.866020599705778101e-09 2.101454990486300118e-11
8.457788944723617419e+00 1.935260373454170155e-08 1.543466672566442683e-08 3.896810648857496596e-09 2.112636001977895924e-11
8.507537688442210921e+00 1.967744750958747344e-08 1.573287436767161676e-08 3.923331427109538011e-09 2.124171480631789921e-11
8.557286432160804424e+00 2.000500292760087835e-08 1.603824779606752447e-08 3.945394463255403810e-09 2.136066827794805546e-11
8.607035175879397926e+00 2.033530096902484200e-08 1.635097819264804350e-08 3.962839500309706123e-09 2.148327606708997379e-11
8.656783919597989652e+00 2.066840938805036523e-08 1.667126251234740788e-08 3.975537280280608187e-09 2.160959542234808007e-11
8.706532663316583154e+00 2.100443519909501191e-08 1.699930367346920565e-08 3.983391840422730818e-09 2.173968520307460438e-11
8.756281407035176656e+00 2.134352660589293102e-08 1.733531075426412434e-08 3.986342245757900184e-09 2.187360587090447952e-11
8.806030150753768382e+00 2.168587431533169445e-08 1.767949919603619947e-08 3.984363699817626963e-09 2.201141947786775403e-11
8.855778894472361884e+00 2.203171219842825022e-08 1.803209101296029048e-08 3.977467995817308397e-09 2.215318965065180564e-11
8.905527638190955386e+00 2.238131728314244683e-08 1.839331500879357096e-08 3.965703292778326424e-09 2.229898157054787571e-11
8.955276381909547112e+00 2.273500908688114976e-08 1.876340700066399909e-08 3.949153224268573763e-09 2.244886194857644604e-11
9.005025125628140614e+00 2.309314831927793355e-08 1.914261005011718207e-08 3.927935370165511640e-09 2.260289899524212293e-11
9.054773869346734116e+00 2.345613500690850172e-08 1.953117470160143069e-08 3.902199142922749970e-09 2.276116238432170883e-11
9.104522613065327619e+00 2.382440610991502443e-08 1.992935922856772934e-08 3.872123158137256343e-09 2.292372321003850621e-11
9.154271356783919344e+00 2.419843271517432723e-08 2.033742988735735013e-08 3.837912173880055256e-09 2.309065393692135588e-11
9.204020100502512847e+00 2.457871690104107828e-08 2.075566117904477404e-08 3.799793693654718725e-09 2.326202834158853469e-11
9.253768844221106349e+00 2.496578837452096976e-08 2.118433611939637214e-08 3.758014333678965584e-09 2.343792144563338058e-11
9.303517587939698075e+00 2.536020098298673576e-08 2.162374651709790849e-08 3.712836056450106836e-09 2.361840943872193459e-11
9.353266331658291577e+00 2.576252919952949565e-08 2.207419326039336150e-08 3.664532369545195390e-09 2.380356959094029494e-11
9.403015075376885079e+00 2.617336467426837417e-08 2.253598661226547032e-08 3.613384581849550536e-09 2.399348015335296061e-11
9.452763819095476805e+00 2.659331293412644537e-08 2.300944651427518141e-08 3.559678199605612382e-09 2.418822024565154166e-11
9.502512562814070307e+00 2.702299030152340701e-08 2.349490289915959452e-08 3.503699532634126038e-09 2.438786972968632694e-11
9.552261306532663809e+00 2.746302108897857695e-08 2.399269601226923010e-08 3.445732567641767965e-09 2.459250906758073038e-11
9.602010050251257312e+00 2.791403511257065446e-08 2.450317674190341757e-08 3.386056151504205406e-09 2.480221916303141713e-11
9.651758793969849037e+00 2.837666555329252793e-08 2.502670695857634566e-08 3.324941513531889786e-09 2.501708118429364614e-11
9.701507537688442540e+00 2.885154718218618620e-08 2.556365986321757666e-08 3.262650142601365465e-09 2.523717636724330529e-11
9.751256281407036042e+00 2.933931495321727847e-08 2.611442034427690503e-08 3.199432023143578619e-09 2.546258579679357173e-11
9.801005025125627768e+00 2.984060295748507199e-08 2.667938534366604623e-08 3.135524223654199525e-09 2.569339016482574989e-11
9.850753768844221270e+00 3.035604372375057853e-08 2.725896423142620408e-08 3.071149822821702610e-09 2.592966950267099309e-11
9.900502512562814772e+00 3.088626784347247586e-08 2.785357918896183456e-08 3.006517151624590577e-09 2.617150288605177372e-11
9.950251256281406498e+00 3.143190389353044899e-08 2.846366560062740516e-08 2.941819324792779958e-09 2.641896811026222217e-11
1.000000000000000000e+01 3.199357862646651372e-08 2.908967245339111632e-08 2.877234031742168890e-09 2.667214133323219944e-11
